年月,港口別,Total,國輪合計,外輪合計,進港合計,進港國輪,進港外輪,出港合計,出港國輪,出港外輪
200405,基隆港,3792714,1061986,2730728,3074019,984647,2089372,718695,77339,641356
200405,花蓮港,1847038,1524850,322188,233373,34446,198927,1613665,1490404,123261
200405,臺北港,625608,619604,6004,624960,618956,6004,648,648,0
200405,蘇澳港,484342,87313,397029,308386,40213,268173,175956,47100,128856
200405,安平港,382073,65711,316362,376652,63062,313590,5421,2649,2772
200406,國際商港,24351532,7779542,16571990,17808087,5013694,12794393,6543445,2765848,3777597
200406,高雄港,14197330,3714011,10483319,10366195,2396260,7969935,3831135,1317751,2513384
200406,臺中港,3965059,1072748,2892311,3469474,992315,2477159,495585,80433,415152
200406,基隆港,3211721,948351,2263370,2528948,889778,1639170,682773,58573,624200
200406,花蓮港,1571887,1316778,255109,133014,24859,108155,1438873,1291919,146954
200406,臺北港,583323,583323,0,582621,582621,0,702,702,0
200406,蘇澳港,419485,62878,356607,332782,51378,281404,86703,11500,75203
200406,安平港,402727,81453,321274,395053,76483,318570,7674,4970,2704
200407,國際商港,23262837,7050513,16212324,16529704,4090675,12439029,6733133,2959838,3773295
200407,高雄港,11558380,2305485,9252895,7679781,1088281,6591500,3878599,1217204,2661395
200407,臺中港,5051130,1399942,3651188,4554163,1307845,3246318,496967,92097,404870
200407,基隆港,3108713,976540,2132173,2466876,908744,1558132,641837,67796,574041
200407,花蓮港,2080780,1595260,485520,422684,35756,386928,1658096,1559504,98592
200407,臺北港,646932,636020,10912,646122,635210,10912,810,810,0
200407,安平港,412011,65669,346342,405702,62142,343560,6309,3527,2782
200407,蘇澳港,404891,71597,333294,354376,52697,301679,50515,18900,31615
200408,國際商港,23685992,7757187,15928805,17230415,5050828,12179587,6455577,2706359,3749218
200408,高雄港,12902924,3326127,9576797,9327280,2228027,7099253,3575644,1098100,2477544
200408,臺中港,4368797,1315733,3053064,3873863,1229150,2644713,494934,86583,408351
200408,基隆港,3018676,865860,2152816,2357071,804518,1552553,661605,61342,600263
200408,花蓮港,1737008,1471985,265023,233885,64412,169473,1503123,1407573,95550
200408,臺北港,681867,662544,19323,680908,661585,19323,959,959,0
200408,蘇澳港,526128,49166,476962,312236,0,312236,213892,49166,164726
200408,安平港,450592,65772,384820,445172,63136,382036,5420,2636,2784
200409,國際商港,22965250,6979967,15985283,16494150,4161921,12332229,6471100,2818046,3653054
200409,高雄港,12724865,2919395,9805470,9022278,1655240,7367038,3702587,1264155,2438432
200409,臺中港,4067979,1129120,2938859,3607625,1033122,2574503,460354,95998,364356
200409,基隆港,3017944,848818,2169126,2354170,793571,1560599,663774,55247,608527
200409,花蓮港,1671470,1309717,361753,259682,4929,254753,1411788,1304788,107000
200409,臺北港,594262,572413,21849,593150,571301,21849,1112,1112,0
